Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5440

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 1.5454
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.2000
               h_bed: 0.5000
               l_bed: 10
               alpha: 4
                beta: 2
               omega: 0
                 e_v: 1.0000e-04

Running model run (ode15s):
Run to steady
Saving model run to
./RUN/output_006_steady.nc
Fields, IC & BC initialised
Initial phi calculated in 2.1s
36913.0/37230.0 days/days; walltime: 0.1
36914.0/37230.0 days/days; walltime: 0.1
36915.0/37230.0 days/days; walltime: 0.2
36916.0/37230.0 days/days; walltime: 0.1
36917.0/37230.0 days/days; walltime: 0.1
36918.0/37230.0 days/days; walltime: 0.2
36919.0/37230.0 days/days; walltime: 0.1
36920.0/37230.0 days/days; walltime: 0.1
36921.0/37230.0 days/days; walltime: 0.2
36922.0/37230.0 days/days; walltime: 0.1
36923.0/37230.0 days/days; walltime: 0.1
36924.0/37230.0 days/days; walltime: 0.3
36925.0/37230.0 days/days; walltime: 0.1
36926.0/37230.0 days/days; walltime: 0.1
36927.0/37230.0 days/days; walltime: 0.1
--36928.0/37230.0 days/days; walltime: 0.2
-36929.0/37230.0 days/days; walltime: 0.1
-36930.0/37230.0 days/days; walltime: 0.1
--36931.0/37230.0 days/days; walltime: 0.2
-36932.0/37230.0 days/days; walltime: 0.1
-36933.0/37230.0 days/days; walltime: 0.1
-36934.0/37230.0 days/days; walltime: 0.1
--36935.0/37230.0 days/days; walltime: 0.2
-36936.0/37230.0 days/days; walltime: 0.1
-36937.0/37230.0 days/days; walltime: 0.1
-36938.0/37230.0 days/days; walltime: 0.1
--36939.0/37230.0 days/days; walltime: 0.2
-36940.0/37230.0 days/days; walltime: 0.1
-36941.0/37230.0 days/days; walltime: 0.1
-36942.0/37230.0 days/days; walltime: 0.1
--36943.0/37230.0 days/days; walltime: 0.2
-36944.0/37230.0 days/days; walltime: 0.1
-36945.0/37230.0 days/days; walltime: 0.1
-36947.0/37230.0 days/days; walltime: 0.1
--36948.0/37230.0 days/days; walltime: 0.2
-36949.0/37230.0 days/days; walltime: 0.1
-36950.0/37230.0 days/days; walltime: 0.1
-36951.0/37230.0 days/days; walltime: 0.1
--36952.0/37230.0 days/days; walltime: 0.2
-36954.0/37230.0 days/days; walltime: 0.1
-36955.0/37230.0 days/days; walltime: 0.1
-36956.0/37230.0 days/days; walltime: 0.1
--36958.0/37230.0 days/days; walltime: 0.2
-36959.0/37230.0 days/days; walltime: 0.1
-36960.0/37230.0 days/days; walltime: 0.1
-36962.0/37230.0 days/days; walltime: 0.1
--36963.0/37230.0 days/days; walltime: 0.2
-36965.0/37230.0 days/days; walltime: 0.1
-36966.0/37230.0 days/days; walltime: 0.1
-36968.0/37230.0 days/days; walltime: 0.1
--36969.0/37230.0 days/days; walltime: 0.2
-36971.0/37230.0 days/days; walltime: 0.1
-36973.0/37230.0 days/days; walltime: 0.1
-36974.0/37230.0 days/days; walltime: 0.1
--36976.0/37230.0 days/days; walltime: 0.2
-36978.0/37230.0 days/days; walltime: 0.1
-36980.0/37230.0 days/days; walltime: 0.1
-36981.0/37230.0 days/days; walltime: 0.1
--36983.0/37230.0 days/days; walltime: 0.2
-36985.0/37230.0 days/days; walltime: 0.1
-36987.0/37230.0 days/days; walltime: 0.1
-36989.0/37230.0 days/days; walltime: 0.1
--36991.0/37230.0 days/days; walltime: 0.2
-36994.0/37230.0 days/days; walltime: 0.1
-36996.0/37230.0 days/days; walltime: 0.1
-----------------------------------36998.0/37230.0 days/days; walltime: 1.9
-----------------37001.0/37230.0 days/days; walltime: 1.5
-37002.0/37230.0 days/days; walltime: 0.1
-----------------------------------------------------------------------------------------------------------37003.0/37230.0 days/days; walltime: 8.1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------37004.0/37230.0 days/days; walltime: 27.7
37005.0/37230.0 days/days; walltime: 44.6
37006.0/37230.0 days/days; walltime: 25.4
37007.0/37230.0 days/days; walltime: 2.3
37008.0/37230.0 days/days; walltime: 1.5
37009.0/37230.0 days/days; walltime: 1.2
37010.0/37230.0 days/days; walltime: 0.9
37011.0/37230.0 days/days; walltime: 0.7
37012.0/37230.0 days/days; walltime: 0.6
37013.0/37230.0 days/days; walltime: 0.6
37014.0/37230.0 days/days; walltime: 1.3
37015.0/37230.0 days/days; walltime: 1.3
37016.0/37230.0 days/days; walltime: 1.8
37017.0/37230.0 days/days; walltime: 3.9
37018.0/37230.0 days/days; walltime: 27.3
37019.0/37230.0 days/days; walltime: 45.4
37020.0/37230.0 days/days; walltime: 112.6
37021.0/37230.0 days/days; walltime: 83.9
37022.0/37230.0 days/days; walltime: 144.7
